Macroporosity,Vugs,Count,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
0.14,245,245,aleatory,grid-20,r1,0.138815,1.92141,0.554773,0.01,0.122688,1.37045,1.91996,0.0192141,0.0383992,0.0427219,79.7677,80.1284,79.4729,0.655482,0.056659,22.6254,511.909,0.000257616,6.63658e-08
0.14,245,245,aleatory,grid-30,r1,0.138394,1.91849,0.595932,0.01,0.118941,1.33615,1.91072,0.0191849,0.0382144,0.0425508,79.6465,79.9851,79.3731,0.611963,0.0564873,17.8043,316.992,0.000241896,5.85139e-08
0.15,262,208,aleatory,grid-10,r1,0.140673,2.25004,0.546834,0.165059,0.345372,1.37791,2.27576,0.0225004,0.0455152,0.051634,91.1187,104.513,82.5609,21.9517,0.0676311,2215.13,4.90678e+06,0.0044382,1.96976e-05
0.15,262,198,aleatory,grid-15,r1,0.144484,2.36619,0.544725,0.20958,0.415329,1.39438,2.32044,0.0236619,0.0464088,0.0566651,95.83,115.627,84.5229,31.1041,0.0729717,2670.18,7.12984e+06,0.00623951,3.89315e-05
0.15,262,159,aleatory,grid-19,r1,0.149053,3.40702,0.541393,0.33269,0.566363,1.49829,3.19147,0.0340702,0.0638295,0.0987671,120.605,181.148,103.647,77.5014,0.0937438,6237.24,3.89032e+07,0.0132675,0.000176027
0.15,262,262,aleatory,grid-20,r1,0.148557,1.92461,0.589349,0.01,0.122456,1.42565,1.91906,0.0192461,0.0383812,0.0427157,79.7973,80.1554,79.5051,0.650232,0.0567011,22.3763,500.7,0.000233308,5.44328e-08
0.15,262,262,aleatory,grid-30,r1,0.147955,1.91859,0.590001,0.01,0.117273,1.36654,1.90906,0.0191859,0.0381813,0.042528,79.6354,79.9655,79.3706,0.594917,0.0564715,17.4164,303.331,0.000226317,5.12195e-08
0.16,280,217,aleatory,grid-10,r1,0.14888,2.33612,0.582052,0.192977,0.358447,1.4091,2.27598,0.0233612,0.0455195,0.0530861,92.6094,107.242,83.7481,23.4938,0.0686083,2512.52,6.31274e+06,0.00527888,2.78665e-05
0.16,280,201,aleatory,grid-15,r1,0.153721,2.48995,0.517803,0.201332,0.427124,1.41096,2.60396,0.0248995,0.0520792,0.063466,101.704,124.211,90.3201,33.8912,0.0764779,3758.79,1.41285e+07,0.00654585,4.28481e-05
0.16,280,165,aleatory,grid-19,r1,0.159342,3.48372,0.528502,0.335941,0.560753,1.53739,3.34639,0.0348372,0.0669278,0.105365,124.209,188.806,109.906,78.9002,0.096571,6765.6,4.57733e+07,0.0132519,0.000175612
0.16,280,280,aleatory,grid-20,r1,0.158753,1.92478,0.586515,0.01,0.122923,1.45186,1.9166,0.0192478,0.038332,0.042728,79.7948,80.1594,79.4963,0.663091,0.0566975,21.8497,477.408,0.000241807,5.84709e-08
0.16,280,280,aleatory,grid-30,r1,0.15819,1.91856,0.556302,0.01,0.114112,1.39902,1.91058,0.0191856,0.0382116,0.0425672,79.6531,79.9661,79.4054,0.560753,0.0564965,18.8242,354.351,0.000237784,5.65413e-08
0.18,315,233,aleatory,grid-10,r1,0.165997,2.3596,0.53752,0.196208,0.381535,1.46968,2.35134,0.023596,0.0470269,0.0541595,94.3753,109.667,85.1193,24.5473,0.0712432,2539.62,6.44968e+06,0.00532633,2.83698e-05
